,rnaspider
00023_cpr7p_0008908.pdb,0.0
00021_cpr7p_0006731.pdb,0.0
00012_cppc_0011856.pdb,0.0
00001_cppc_0000984.pdb,0.0
00006_cppc_0005620.pdb,0.0
00025_cpr7p_0011542.pdb,0.0
00005_cppc_0004611.pdb,0.0
00009_cppc_0008763.pdb,0.0
00004_cppc_0003566.pdb,0.0
00011_cppc_0010806.pdb,2.0
00038_cpr7p_0024024.pdb,0.0
00006_cppc_0005040.pdb,0.0
00012_cppc_0011197.pdb,0.0
00041_cpr7p_0026631.pdb,0.0
00005_cppc_0004906.pdb,0.0
00013_cppc_0012502.pdb,0.0
00029_cpr7p_0015218.pdb,0.0
00009_cppc_0008084.pdb,0.0
00034_cpr7p_0020297.pdb,1.0
00003_cppc_0002635.pdb,0.0
00005_cppc_0004750.pdb,0.0
00012_cppc_0011704.pdb,0.0
00007_cppc_0006307.pdb,0.0
00043_cpr7p_0029560.pdb,0.0
00009_cppc_0008540.pdb,0.0
00014_cppc_0013209.pdb,0.0
00009_cppc_0008178.pdb,0.0
00011_cppc_0010598.pdb,0.0
00011_cppc_0010138.pdb,0.0
00005_cppc_0004591.pdb,0.0
00002_cppc_0001041.pdb,0.0
00007_cppc_0006122.pdb,0.0
00001_cppc_0000251.pdb,0.0
00004_cppc_0003450.pdb,0.0
00047_cpr7p_0032744.pdb,0.0
00031_cpr7p_0017244.pdb,1.0
00009_cppc_0008219.pdb,0.0
00005_cppc_0004122.pdb,0.0
00011_cppc_0010365.pdb,0.0
00005_cppc_0004131.pdb,0.0
00001_cppc_0000068.pdb,0.0
00013_cppc_0012799.pdb,0.0
00010_cppc_0009460.pdb,0.0
00011_cppc_0010490.pdb,0.0
00008_cppc_0007083.pdb,0.0
00003_cppc_0002866.pdb,0.0
00009_cppc_0008027.pdb,0.0
